runcat,eta,V,maxFlx,avgFlx,freq,dpts,newSrc,ra,dec
30736,0.9723720169306566,0.01613286635307085,2.626246048909509,2.5682184569227084,148.9242553711,6,N,186.21841165008334,54.61150667794186
30737,0.6636268032840787,0.055078315630881315,0.5469517935119842,0.5232724961638114,148.9242553711,6,N,186.02950722103446,55.04289691888069
30738,1.6497935812314632,0.19688458582224697,0.29220920280505425,0.2766523485707712,148.9242553711,5,N,186.02927029953042,55.72112837284609
30739,1.3899500956628614,0.018435586923998753,2.9367975583778403,2.903667620947342,148.9242553711,6,N,185.8050635704895,54.1523342886249
30740,0.2991943774057423,0.04025292368733654,0.5880589038794314,0.5596388689710385,148.9242553711,6,N,185.62585629370463,55.74810411620726
30741,0.07784451647273921,0.013420491986489723,0.935427338051293,0.9262506542960319,148.9242553711,6,N,184.89883777392336,55.47496560850751
30742,0.17210233698102523,0.05094187219358457,0.35842435639357,0.3329576187198359,148.9242553711,6,N,184.81713458814005,55.38117951828742
30743,1.3118892240693567,0.02792435856446184,1.8234435521961834,1.773753642626735,148.9242553711,6,N,184.6010509653508,55.52585071809185
30744,0.226097355410385,0.020209800039314826,0.964135936552712,0.9339434116053649,148.9242553711,6,N,184.58859385060097,55.00634810316937
30745,0.41502608928871176,0.03797918405301346,0.710359103920017,0.6810234577488565,148.9242553711,6,N,183.99429808417727,54.87267932300429
30746,1.4713242505230926,0.03799221296091374,1.37173100702475,1.3234592173782245,148.9242553711,6,N,190.95085791192906,51.15814004697199
30747,0.2515662310343207,0.05363134792044259,0.3880598406275026,0.365502130874271,148.9242553711,6,N,190.5334274425853,50.363082913703586
30748,0.7540260384190346,0.017488123414741746,2.3331463214622405,2.293413366544142,148.9242553711,6,N,190.31264026189527,51.69007683429985
30749,0.5295069773587111,0.021420079264679565,1.547672722272362,1.503491677609285,148.9242553711,6,N,190.1984085102759,50.165174169286814
30750,0.10703918360956383,0.033865478789399425,0.377832676888486,0.36998471848969133,148.9242553711,6,N,190.02776631217236,50.472771257486535
30751,0.16417227763301284,0.062327874038675145,0.2804531147303061,0.2522340183321928,148.9242553711,6,N,189.9278979796531,51.49608454830064
30752,0.23844190024540993,0.04883005122428851,0.4015326873683773,0.3945609579882625,148.9242553711,6,N,189.56767387048848,50.19868016958589
30753,0.14442114418394136,0.032749818440447574,0.442836905627136,0.4188726503806097,148.9242553711,6,N,189.46516170077146,51.298788349040876
30754,0.7312663684980341,0.04200076406126561,0.7967718808148883,0.7818647404391438,148.9242553711,6,N,189.21223962274922,51.43879456272918
30755,0.3835675032931208,0.05704031860785737,0.4785719643485297,0.44556811048981415,148.9242553711,6,N,189.01047673191735,50.03942560066748
30756,0.5607157382970189,0.021161180830129852,1.3701041643174723,1.3591018032038948,148.9242553711,6,N,188.8748782501932,51.64693002075838
30757,0.829662065051118,0.03103980457907778,1.227184317795232,1.2110132184337017,148.9242553711,6,N,188.45407002055862,50.43858203105966
