runcat,eta,V,maxFlx,avgFlx,freq,dpts,newSrc
1493,0.560050067873854,0.336233201407505,0.000328478280240567,0.000187769715419278,1283.8955078125,46,N
464,1.25970515936621,0.30179007680631,0.000424261927937962,0.000224329847886189,1283.8955078125,58,N
1388,0.419681760936373,0.204032043593142,0.000325406888958437,0.000187431136456679,1283.8955078125,61,N
842,0.391758118033854,0.21561143914775,0.00026416341305718,0.00014961247854542,1283.8955078125,56,N
736,0.668695469775436,0.609171012629469,0.00019424164280411,8.05605117714904e-05,1283.8955078125,11,N
1420,0.352161460020223,0.315400537739397,0.000315141259416159,0.000138146271994844,1283.8955078125,37,N
844,0.466568392413704,0.430499994793737,0.000137352086129,7.22274645811203e-05,1283.8955078125,16,N
948,0.444028738354643,0.236557394321507,0.000233764716909553,0.000160271668384389,1283.8955078125,46,N
792,0.310347411046437,0.231448712167534,0.000264752197168971,0.000144183888351576,1283.8955078125,54,N
137,0.375024187971086,0.171608791534233,0.000318828750631219,0.00019382783249783,1283.8955078125,61,N
533,32.3352085856706,0.0473556856238265,0.0534226948865048,0.0500707797460443,1283.8955078125,65,N
979,0.552347580188475,0.343891623144795,0.000225882736630529,0.000129227029907615,1283.8955078125,24,N
1154,0.508594709021945,0.23301266430649,0.000238410575492489,0.000149805579223852,1283.8955078125,48,N
305,1.74317600037675,0.0532193310388665,0.00468337526486875,0.00367475073706449,1283.8955078125,65,N
151,0.428770046302409,0.0773974608209812,0.00113246399704062,0.000855177585429099,1283.8955078125,65,N
319,1.77674616330345,0.124218685369803,0.00671402593668142,0.00406945928244142,1283.8955078125,65,N
710,1.06173297969598,1.26049790963555,0.000261022356852757,5.48499174136444e-05,1283.8955078125,4,N
324,0.822027135537374,0.151031678631844,0.0027940041975031,0.00138718267801266,1283.8955078125,65,N
790,0.287062252473571,0.154116869990925,0.000242620285845533,0.000183149661358243,1283.8955078125,59,N
1185,0.468061738504016,0.313004786715429,0.000226629067433546,0.000120652338839952,1283.8955078125,42,N
309,292.906210906311,0.0816489693006603,0.108103456804482,0.0880369905000558,1283.8955078125,48,N
681,0.469534388143156,0.325590887154634,0.000280521999613769,0.000142502444543528,1283.8955078125,31,N
78,0.551437126799737,0.313431507692677,0.000301921289212988,0.000149078177831866,1283.8955078125,52,N
143,0.555825927449863,0.174084633716268,0.000387740363687938,0.000312046037559985,1283.8955078125,61,N
1500,0.461587298718827,0.307562785140099,0.00033975838519662,0.00017997999871786,1283.8955078125,19,N
114,0.456786675706527,0.304775592590935,0.00032877460271552,0.000130902460907751,1283.8955078125,44,N
536,0.334110073422156,0.229833158510986,0.00130499020248387,0.000678692641256437,1283.8955078125,57,N
1377,0.361191662817299,0.330608163208016,0.000156772071683179,8.48687867002833e-05,1283.8955078125,14,N
889,0.545691090065323,0.386115683267181,0.000158390951219189,8.99247964113397e-05,1283.8955078125,22,N
1454,0.808268690367128,0.683569728527433,0.00024158294879841,7.22133504759408e-05,1283.8955078125,14,N
16,0.629102421679115,0.500594368840859,0.000300821179556956,9.22160354674941e-05,1283.8955078125,18,N
1182,0.496680542635489,0.316537238535032,0.000199925188728639,0.000115877694226964,1283.8955078125,33,N
367,0.96744176234402,0.165304126377472,0.00609318125931136,0.00285699715157348,1283.8955078125,65,N
422,3.01956253177797,0.179183399684806,0.0010012684591092,0.000670304502472288,1283.8955078125,65,N
969,0.526856896158346,0.266791231652074,0.000230353576220991,0.000140509720884849,1283.8955078125,50,N
